id,frequencies,Amplitudes
0,110.0,0.0887824312095156
1,123.47,0.12089781114926713
2,130.815,0.08709573103227516
3,146.83,0.09513863109226771
4,164.815,0.031115290601193692
5,174.615,0.017153479490908966
6,196.0,0.027125536582482197
7,220.0,0.10235236609885429
8,246.94,0.17313383015905143
9,261.63,0.20331522980104463
10,293.66,0.18387698155738735
11,329.63,0.22503360553141002
12,349.23,0.19807121950289192
13,392.0,0.1710020116339406
14,440.0,0.09969370148130784
15,493.88,0.06486420003340194
16,523.26,0.11151450930383348
17,587.32,0.19470201542022564
18,659.26,0.07239065970432194
19,698.46,0.17408265516839788
20,784.0,1.445771756135481
21,880.0,0.36229054471178657
22,987.76,0.1104949667111846

